model,price,instalment,mileage,num_of_owners,depreciation,reg_date,coe_left,coe_left_yrs,coe_left_mths,coe_months,source
Mercedes-Benz CLA-Class CLA180 Progressive,198888,1608,13520,1,19420,16 Dec 21 ,9yrs 3mths left,9,3,111,Carro
Mercedes-Benz A-Class Saloon A200 Progressive,176888,1430,42413,2,21840,29 Nov 19 ,7yrs 2mths left,7,2,86,Carro
Mercedes-Benz CLA-Class CLA180 AMG Line,182888,1479,32888,1,19790,24 Oct 20 ,8yrs 1mths left,8,1,97,Carro
Mercedes-Benz CLA-Class CLA180 Shooting Brake Urban,122888,1382,69657,1,17970,26 Jun 18 ,5yrs 9mths left,5,9,69,Carro
Mercedes-Benz CLA-Class CLA200 Urban,110888,1460,43316,3,19620,27 Jul 17 ,4yrs 10mths left,4,10,58,Carro
Mercedes-Benz GLB-Class GLB35 AMG 4MATIC 7-Seater,265888,2150,26872,1,27840,26 Mar 21 ,8yrs 6mths left,8,6,102,Carro
Mercedes-Benz CLA-Class CLA180 Progressive,182888,1479,34844,1,20210,09 Oct 20 ,8yrs 1mths left,8,1,97,Carro
Mercedes-Benz C-Class C200 Avantgarde,170888,1382,80125,1,20520,18 Sep 19 ,7yrs left,7,0,84,Carro
Mercedes-Benz CLA-Class CLA200 AMG Line,203888,1648,1643,1,19560,27 Dec 21 ,9yrs 3mths left,9,3,111,Carro
Mercedes-Benz C-Class C180 Coupe,212888,1721,30625,1,22620,04 Jan 21 ,8yrs 3mths left,8,3,99,Carro
Mercedes-Benz C-Class C200 Avantgarde,72888,1903,162606,3,23710,28 Jan 15 ,2yrs 4mths left,2,4,28,Carro
Mercedes-Benz A-Class A200 (COE till 04/2032),115888,937,133360,4,11140,18 Apr 13 ,9yrs 7mths left,9,7,115,Carro
Mercedes-Benz GLA-Class GLA180 Urban Edition,145888,1376,27198,1,17440,25 Mar 20 ,7yrs 6mths left,7,6,90,Carro
Mercedes-Benz C-Class C180 Avantgarde,122888,1593,61000,1,20350,18 Aug 17 ,4yrs 11mths left,4,11,59,Carro
Mitsubishi Attrage 1.2A,66888,690,112781,1,10070,25 Jan 19 ,6yrs 4mths left,6,4,76,Carro
Mitsubishi Attrage 1.2A,87888,829,37589,1,10210,15 Jan 21 ,8yrs 4mths left,8,4,100,Carro
Mitsubishi Lancer EX 1.6A,49888,951,155026,3,13410,14 Dec 15 ,3yrs 3mths left,3,3,39,Carro
Mitsubishi Attrage 1.2A,98888,933,12881,1,10260,26 Jan 22 ,9yrs 4mths left,9,4,112,Carro
Mitsubishi Attrage 1.2A (OPC),64888,669,20000,1,9740,30 Jan 19 ,6yrs 4mths left,6,4,76,Carro
Mitsubishi Lancer 1.6A GLX (COE till 12/2029),64888,612,299544,3,8910,16 Dec 09 ,7yrs 3mths left,7,3,87,Carro
Mitsubishi Lancer 1.6M (COE till 02/2023),8888,1255,301822,2,1990,19 Mar 08 ,5mths left,0,5,5,Carro
Mitsubishi Outlander 2.0A,172369,1626,18512,1,18360,28 Jul 21 ,8yrs 10mths left,8,10,106,Carro
Mitsubishi Outlander 2.0A,106888,1019,68626,1,13900,14 May 19 ,6yrs 8mths left,6,8,80,Carro
Mitsubishi i,388,0,176655,3,0,04 Jul 07 ,4mths left,0,4,4,Carro
Mitsubishi Attrage 1.2A (Off-Peak Car),68412,660,12941,1,9520,05 Apr 19 ,6yrs 6mths left,6,6,78,Carro
Mitsubishi Outlander 2.4A,78888,1007,53978,2,13490,25 May 17 ,4yrs 8mths left,4,8,56,Carro
Mitsubishi Lancer 1.6M GLX,2388,839,236126,4,843,25 Jun 07 ,2mths left,0,2,2,Carro
Mitsubishi Attrage 1.2A,68888,650,68001,1,9200,25 Jul 19 ,6yrs 10mths left,6,10,82,Carro
Mitsubishi Outlander 2.4A Sunroof,72888,1062,42597,1,13680,20 Sep 16 ,4yrs left,4,0,48,Carro
Mitsubishi Outlander 2.4A Sunroof,63888,1022,167000,2,13350,26 Apr 16 ,3yrs 7mths left,3,7,43,Carro
Mitsubishi Space Star 1.2A,55088,604,80294,2,8760,30 Apr 18 ,5yrs 7mths left,5,7,67,Carro
Mitsubishi Eclipse Cross 1.5A Sunroof,109288,1031,20978,2,13300,06 Jun 19 ,6yrs 9mths left,6,9,81,Carro
Mitsubishi Attrage 1.2A,73888,697,26073,1,8590,10 Sep 20 ,8yrs left,8,0,96,Carro
Mitsubishi Attrage 1.2A Cvt,45388,608,103886,2,8900,03 Feb 17 ,4yrs 4mths left,4,4,52,Carro
Mitsubishi Lancer 1.6 A,1488,0,132000,2,207,05 Apr 07 ,5mths left,0,5,5,Carro
Mitsubishi Outlander 2.4A Sunroof,84126,1401,102500,1,19390,22 Jan 16 ,3yrs 4mths left,3,4,40,Carro
Mitsubishi Attrage 1.2A Sports,60888,600,67427,1,8690,08 Jan 19 ,6yrs 4mths left,6,4,76,Carro
Mitsubishi Attrage 1.2A,54888,602,65379,2,8800,26 Mar 18 ,5yrs 6mths left,5,6,66,Carro
Nissan Note 1.2A,70388,709,55689,1,10350,25 Mar 19 ,6yrs 6mths left,6,6,78,Carro
Nissan Sylphy 1.6A,91888,867,164323,1,11150,29 Feb 20 ,7yrs 5mths left,7,5,89,Carro
Nissan Qashqai 1.2A DIG-T,76888,967,123249,2,13560,19 Oct 17 ,5yrs 1mths left,5,1,61,Carro
Nissan Qashqai 1.2A DIG-T,55888,993,129423,2,13710,30 Mar 16 ,3yrs 6mths left,3,6,42,Carro
Nissan Qashqai 2.0A,77888,1060,99756,2,14400,29 May 17 ,4yrs 8mths left,4,8,56,Carro
Nissan Qashqai 1.2A DIG-T,52388,1049,61783,1,14460,24 Oct 15 ,3yrs 1mths left,3,1,37,Carro
Nissan Qashqai 2.0A Premium Moonroof,71888,1047,89000,1,14260,11 Jan 17 ,4yrs 4mths left,4,4,52,Carro
Nissan Juke 1.6A,62888,1093,52422,1,15050,15 Apr 16 ,3yrs 7mths left,3,7,43,Carro
Nissan Qashqai 1.2A DIG-T,84888,1052,67464,1,14810,28 Nov 17 ,5yrs 2mths left,5,2,62,Carro
Nissan Qashqai 1.2A DIG-T,88388,1049,40000,1,14320,21 Feb 18 ,5yrs 5mths left,5,5,65,Carro
Nissan Qashqai 1.2A DIG-T,80888,988,91121,2,13780,29 Dec 17 ,5yrs 3mths left,5,3,63,Carro
Nissan Sylphy 1.5A,20888,7334,397717,1,8980,22 Nov 12 ,2mths left,0,2,2,Carro
Nissan Latio 1.5A Sports (COE till 11/2028),58888,622,41669,1,9470,21 Nov 08 ,6yrs 2mths left,6,2,74,Carro
Nissan Note 1.2A (OPC),51888,784,40841,1,11740,18 Nov 16 ,4yrs 2mths left,4,2,50,Carro
Nissan Teana 2.0A (COE till 12/2030),73888,598,138274,7,8870,17 Feb 11 ,8yrs 3mths left,8,3,99,Carro
Nissan Juke 1.6A,53888,1169,100426,2,15530,30 Jul 15 ,2yrs 10mths left,2,10,34,Carro
Nissan Qashqai 1.2A DIG-T,89888,1038,75021,1,14150,19 Apr 18 ,5yrs 7mths left,5,7,67,Carro
Nissan X-Trail 2.0A 7-Seater Sunroof,90888,1022,77808,1,13550,07 Jun 18 ,5yrs 9mths left,5,9,69,Carro
Nissan Qashqai 1.2A DIG - T,69888,1076,124015,2,15210,27 Oct 16 ,4yrs 1mths left,4,1,49,Carro
Nissan Qashqai 1.2A DIG-T,78888,978,64210,1,13670,28 Nov 17 ,5yrs 2mths left,5,2,62,Carro
Nissan X-Trail 2.0A Premium 7-Seater Sunroof,111872,1310,35005,1,17690,28 Mar 18 ,5yrs 6mths left,5,6,66,Carro
Nissan Latio 1.5A Sports (COE till 09/2024),18888,572,164897,4,9110,30 Oct 09 ,2yrs left,2,0,24,Carro
Nissan Note 1.2A,60388,688,62509,2,10130,21 May 18 ,5yrs 8mths left,5,8,68,Carro
Nissan Sylphy 1.6A,70555,1200,57660,1,16630,31 May 16 ,3yrs 8mths left,3,8,44,Carro
Opel Astra Sports Tourer 1.0A,64888,816,107835,2,12030,31 Oct 17 ,5yrs 1mths left,5,1,61,Carro
Opel Mokka X Diesel 1.6A,57888,788,208507,1,10720,08 May 17 ,4yrs 8mths left,4,8,56,Carro
Opel Crossland 1.2A X Turbo,70888,819,124560,2,10700,12 Apr 18 ,5yrs 7mths left,5,7,67,Carro
Opel Astra 1.4A Turbo,127850,1206,29568,1,15030,21 Sep 20 ,8yrs left,8,0,96,Carro
Opel Astra 1.0A Turbo (Off-Peak Car),59842,753,26000,1,11130,07 Jun 17 ,4yrs 9mths left,4,9,57,Carro
Opel Astra 1.4A Turbo Innovation,82888,782,52094,1,8870,21 Oct 20 ,8yrs 1mths left,8,1,97,Carro
Opel Adam 1.4A,53888,678,74332,3,9810,26 May 17 ,4yrs 8mths left,4,8,56,Carro
Opel Astra GTC 1.4A,59888,712,108231,1,8480,18 Jul 17 ,4yrs 10mths left,4,10,58,Carro
Opel Astra Sports Tourer 1.0A (2017),82800,0,5100,1,0,27 Dec 17 ,5yrs 3mths left,5,3,63,Carro
Perodua Axia 1.0 Advance (Off-Peak Cars),32888,488,55627,2,6770,13 Jul 16 ,3yrs 10mths left,3,10,46,Carro
Porsche Macan 2.0A PDK,161888,2522,86801,1,33790,19 Feb 16 ,3yrs 5mths left,3,5,41,Carro
Porsche 911 Carrera S Coupe 3.0A PDK,645888,5221,11102,1,61520,06 May 21 ,8yrs 8mths left,8,8,104,Carro
Porsche Cayman S PDK 3.4M (COE till 04/2030),189888,1535,86400,2,24930,16 Apr 10 ,7yrs 7mths left,7,7,91,Carro
Porsche Cayenne Diesel 3.0A Tip,148888,3221,136407,4,34960,13 Feb 15 ,2yrs 5mths left,2,5,29,Carro
Porsche Macan Turbo 3.6A PDK,240888,4889,28000,1,61270,10 Apr 15 ,2yrs 7mths left,2,7,31,Carro
Porsche Macan 2.0A PDK,142888,3188,90335,1,36540,12 Jun 15 ,2yrs 9mths left,2,9,33,Carro
Porsche 911 Turbo Coupe 3.8A PDK,394888,3192,126655,5,47240,12 Jan 11 ,8yrs 4mths left,8,4,100,Carro
Porsche Panamera S 4.8A PDK,133888,1143,109015,7,20110,14 May 10 ,6yrs 7mths left,6,7,79,Carro
Porsche Panamera 3.6A PDK,162888,1317,173020,5,20170,14 Feb 11 ,8yrs left,8,0,96,Carro
Porsche Cayenne S 4.8A Tip,152888,1236,85093,4,17490,31 May 11 ,8yrs 8mths left,8,8,104,Carro
Porsche Macan 2.0A PDK,161888,2412,83119,2,32940,20 Nov 15 ,3yrs 2mths left,3,2,38,Carro
Porsche Panamera 3.6A PDK,128000,1035,105645,3,16090,18 Apr 11 ,7yrs 1mths left,7,1,85,Carro
Porsche Cayenne S 2.9A,414888,3354,26363,2,41520,09 May 19 ,6yrs 8mths left,6,8,80,Carro
Porsche Macan GTS 3.0A PDK,303888,2852,17129,2,35650,27 Dec 17 ,5yrs 3mths left,5,3,63,Carro
Porsche Macan S 3.0A,172888,0,102000,2,0,19 Dec 14 ,2yrs 3mths left,2,3,27,Carro
Seat CUPRA Ateca 2.0A TSI,212888,1721,17332,1,23090,28 Oct 20 ,8yrs 1mths left,8,1,97,Carro
SEAT Leon CUPRA 2.0A TSI DSG,162888,1933,107792,3,26040,02 Mar 18 ,5yrs 5mths left,5,5,65,Carro
Mercedes-Benz GLB-Class GLB250 4MATIC 7-Seater,287888,2327,13902,1,29320,25 Aug 21 ,8yrs 11mths left,8,11,107,Carro
SEAT Leon CUPRA 2.0A TSI DSG,192888,1560,18585,1,23940,03 Feb 20 ,7yrs 4mths left,7,4,88,Carro
SEAT Ateca 1.4A TSI 150Fr,123888,1002,41258,2,14940,27 Nov 19 ,7yrs 2mths left,7,2,86,Carro
BMW X5 xDrive35i 7-Seater Sunroof (COE till 05/2031),118888,961,160189,5,13600,24 Aug 11 ,8yrs 8mths left,8,8,104,Carro
SEAT Leon 1.2A TSI Style,63888,947,102000,3,13850,09 Dec 16 ,4yrs 3mths left,4,3,51,Carro
Mercedes-Benz GLB-Class GLB35 AMG 4MATIC 7-Seater,265888,2150,26872,1,27840,26 Mar 21 ,8yrs 6mths left,8,6,102,Carro
Land Rover Discovery 2.0A Si4 HSE 7-Seater,230888,1867,11000,1,26060,18 Oct 19 ,7yrs 1mths left,7,1,85,Carro
BMW X5 xDrive35i 7-Seater,158888,2019,159049,3,25530,13 Dec 16 ,4yrs 3mths left,4,3,51,Carro
SEAT Leon 1.2A TSI Style,75888,969,94120,2,13780,28 Sep 17 ,5yrs left,5,0,60,Carro
SEAT Leon Sport Tourer 1.0A TSI Style,117888,1112,17000,1,14290,24 Mar 20 ,7yrs 6mths left,7,6,90,Carro
BMW X7 xDrive40i Pure Excellence 7-Seater,392888,3176,15965,2,40110,24 Jul 20 ,7yrs 10mths left,7,10,94,Carro
Mazda CX-8 2.5A Elegance 7 Seater,184888,1495,15800,1,18960,30 Jun 21 ,8yrs 9mths left,8,9,105,Carro
Seat CUPRA Ateca 2.0A TSI Sunroof,228888,1851,24000,1,23830,23 Mar 21 ,8yrs 6mths left,8,6,102,Carro
Nissan X-Trail 2.0A 7-Seater Sunroof,90888,1022,77808,1,13550,07 Jun 18 ,5yrs 9mths left,5,9,69,Carro
Nissan X-Trail 2.0A Premium 7-Seater Sunroof,111872,1310,35005,1,17690,28 Mar 18 ,5yrs 6mths left,5,6,66,Carro
Land Rover Discovery Sport 2.0A Si4 HSE 7-Seater Sunroof,108888,1742,74312,1,19610,30 Aug 16 ,3yrs 11mths left,3,11,47,Carro
Nissan X-Trail 2.0A 7-Seater Sunroof,59888,1169,75750,2,15060,29 Jul 15 ,2yrs 10mths left,2,10,34,Carro
Toyota Alphard 2.5A X 8-Seater,205888,1665,49053,1,21270,22 Oct 20 ,8yrs 1mths left,8,1,97,Carro
Nissan X-Trail 2.0A 7-Seater Sunroof,114888,1119,24305,1,16960,18 Jan 19 ,6yrs 4mths left,6,4,76,Carro
Nissan X-Trail 2.0A 7-Seater Sunroof,60888,920,109726,2,11630,21 Jun 16 ,3yrs 9mths left,3,9,45,Carro
Mazda CX-8 2.5A Luxury 6-Seater,221667,1792,13818,1,22050,07 May 21 ,8yrs 8mths left,8,8,104,Carro
Nissan X -Trail 2.0A 7 - Seater Sunroof,63888,869,83225,1,11110,28 Jul 16 ,3yrs 10mths left,3,10,46,Carro
Skoda Octavia Mild Hybrid 1.5A TSI e-TEC Ambition,145888,1180,18000,1,15530,12 Oct 21 ,9yrs 1mths left,9,1,109,Carro
Skoda Octavia Mild Hybrid 1.5A TSI e-TEC Style,148888,1204,13759,1,15280,14 Jan 22 ,9yrs 4mths left,9,4,112,Carro
Skoda Octavia Mild Hybrid 1.5 TSI e-TEC Style,140888,1139,15610,2,15260,13 Jul 21 ,8yrs 10mths left,8,10,106,Carro
Skoda Kodiaq Ambition 1.5A TSI,193888,1568,11621,1,19650,17 Sep 21 ,9yrs left,9,0,108,Carro
Skoda Karoq 1.5A TSI Style,170000,1604,32248,1,20950,30 Jan 20 ,7yrs 4mths left,7,4,88,Carro
Skoda Octavia 1.4A TSI Ambition,94888,895,20622,1,10970,07 Feb 20 ,7yrs 5mths left,7,5,89,Carro
Skoda Octavia 1.4A TSI Ambition Plus,88888,839,13943,1,10500,14 Aug 19 ,6yrs 11mths left,6,11,83,Carro
Skoda Kodiaq 1.4A TSI Ambition Plus,120000,1209,55807,2,16020,31 Jul 18 ,5yrs 10mths left,5,10,70,Carro
Skoda Octavia 1.4A TSI Ambition Plus,92000,868,29578,1,9810,06 Apr 20 ,7yrs 7mths left,7,7,91,Carro
Skoda Kodiaq 2.0A TSI,135888,1099,16709,1,14250,16 Dec 19 ,7yrs 3mths left,7,3,87,Carro
Tesla Model 3 Performance,244888,1980,4488,1,24070,16 Sep 21 ,9yrs left,9,0,108,Carro
Toyota Harrier Turbo 2.0A G,127888,1233,108167,2,18450,19 Jun 18 ,5yrs 9mths left,5,9,69,Carro
Toyota Vios 1.5A E,78888,795,199381,1,10950,29 Mar 19 ,6yrs 6mths left,6,6,78,Carro
Toyota Harrier 2.0A Premium Panoramic Roof,97888,1331,64327,2,17190,12 May 17 ,4yrs 8mths left,4,8,56,Carro
Toyota Wish 1.8A,60888,1251,121085,1,15780,30 Sep 15 ,3yrs left,3,0,36,Carro
Toyota Harrier 2.0A Elegance Panoramic Roof,82888,1353,95463,1,17630,28 Jul 16 ,3yrs 10mths left,3,10,46,Carro
Toyota Vios 1.5A E,81888,855,40841,2,11840,03 Jan 19 ,6yrs 3mths left,6,3,75,Carro
Toyota Corolla Hybrid 1.8A Ascent Sport,127888,1034,19555,1,14170,18 Feb 21 ,8yrs 5mths left,8,5,101,Carro
Toyota Estima 2.4A Aeras Premium Moonroof,123888,1513,80000,2,19370,19 Dec 17 ,5yrs 3mths left,5,3,63,Carro
Toyota Rav4 2.0A Premium,158888,1285,14000,1,17050,29 Dec 20 ,8yrs 3mths left,8,3,99,Carro
Toyota Alphard 2.5A S C-Package Moonroof,184888,1830,97838,1,28360,06 Apr 18 ,5yrs 7mths left,5,7,67,Carro
Toyota Rav4 2.0A Premium,158888,1285,17862,1,16880,28 Jan 21 ,8yrs 4mths left,8,4,100,Carro
Toyota Rush 1.5A X (COE till 11/2027),54888,680,141028,4,10470,04 Feb 08 ,5yrs 2mths left,5,2,62,Carro
Toyota C-HR Hybrid 1.8A S,88888,1000,50327,2,14440,27 Jun 18 ,5yrs 9mths left,5,9,69,Carro
Toyota 86 2.0M (COE till 07/2032),178888,1446,86581,3,18120,02 May 13 ,9yrs 10mths left,9,10,118,Carro
Toyota Harrier 2.0A Premium Panoramic Roof,93888,1445,71866,2,16960,20 Oct 16 ,4yrs 1mths left,4,1,49,Carro
Toyota Harrier 2.0A Premium Panoramic Roof,104888,1300,95823,2,17130,16 Nov 17 ,5yrs 2mths left,5,2,62,Carro
Toyota Corolla Altis 1.6A Standard,88888,896,47036,1,12040,27 Mar 19 ,6yrs 6mths left,6,6,78,Carro
Toyota Harrier 2.0A Premium Panoramic Roof,89126,1455,96244,4,19200,07 Jul 16 ,3yrs 10mths left,3,10,46,Carro
Toyota Estima 2.4A Aeras Premium,94888,1581,65226,3,19750,24 Jun 16 ,3yrs 9mths left,3,9,45,Carro
Toyota Wish 1.8A X (COE till 03/2029),94007,947,364586,2,14300,14 Aug 09 ,6yrs 6mths left,6,6,78,Carro
Toyota Corolla Altis 1.6A Standard,104715,998,34004,1,13680,23 Aug 19 ,6yrs 11mths left,6,11,83,Carro
Toyota C-HR Hybrid 1.8A S,86888,1004,56445,2,14540,20 Apr 18 ,5yrs 7mths left,5,7,67,Carro
Toyota Vios 1.5A E,93888,886,22213,1,10610,03 Nov 20 ,8yrs 1mths left,8,1,97,Carro
Toyota Vios 1.5A E,93888,886,22361,1,10610,03 Nov 20 ,8yrs 1mths left,8,1,97,Carro
Volkswagen Jetta GP 1.4A TSI,65888,995,31726,2,12930,30 Nov 16 ,4yrs 2mths left,4,2,50,Carro
Volkswagen Jetta GP 1.4A TSI,55888,1040,93854,1,13350,11 Jan 16 ,3yrs 4mths left,3,4,40,Carro
Volkswagen Polo 1.0A TSI Comfortline (OPC),102888,971,11006,1,10330,08 Oct 21 ,9yrs 1mths left,9,1,109,Carro
Volkswagen Golf GTI 2.0A,110888,1739,81363,3,22470,23 Sep 16 ,4yrs left,4,0,48,Carro
Volkswagen Passat 1.8A TFSI,125888,1018,31358,2,14680,24 Feb 20 ,7yrs 5mths left,7,5,89,Carro
Volkswagen Golf 1.2A TSI,72888,903,88412,1,13170,24 Nov 17 ,5yrs 2mths left,5,2,62,Carro
Volkswagen Polo 1.4A (COE till 07/2030),77888,735,72595,3,9850,17 Aug 10 ,7yrs 10mths left,7,10,94,Carro
Volkswagen Scirocco GP 1.4A TSI,79888,1143,76000,3,15330,27 Feb 17 ,4yrs 5mths left,4,5,53,Carro
Volkswagen Golf GTI 5DR (COE till 01/2029),74888,772,245605,4,11680,12 Feb 09 ,6yrs 4mths left,6,4,76,Carro
Volkswagen Scirocco GP 1.4A TSI,82888,1075,101733,3,14760,25 Aug 17 ,4yrs 11mths left,4,11,59,Carro
Volkswagen Scirocco GP 1.4A TSI,72888,1081,81765,3,14690,28 Dec 16 ,4yrs 3mths left,4,3,51,Carro
Volkswagen Passat 2.0A TSI Business,168888,1366,24396,1,17830,26 Mar 21 ,8yrs 6mths left,8,6,102,Carro
Volkswagen Jetta GP 1.4A TSI Highline,65888,943,153910,2,12170,27 Feb 17 ,4yrs 5mths left,4,5,53,Carro
Volkswagen T-Cross 1.0A TSI R-Line,141888,1339,22242,1,14770,29 Jun 21 ,8yrs 9mths left,8,9,105,Carro
Volkswagen Jetta 1.4A TSI,38888,921,91346,1,12970,27 Apr 15 ,2yrs 7mths left,2,7,31,Carro
Volkswagen Jetta 1.4A TSI,34888,881,152869,2,12430,11 Feb 15 ,2yrs 5mths left,2,5,29,Carro
Volkswagen Tiguan 1.4A TSI BMT Panoramic Roof,66388,1364,33531,2,17010,16 Sep 15 ,3yrs left,3,0,36,Carro
Volkswagen Golf 1.0A TSI Trendline,73888,865,103400,1,11680,14 Mar 18 ,5yrs 6mths left,5,6,66,Carro
Volkswagen Touran 1.4A TSI (COE till 04/2031),73888,697,210245,3,8530,06 Jul 11 ,8yrs 7mths left,8,7,103,Carro
Volkswagen Golf 1.2A TSI,50888,1019,86645,3,14890,29 Oct 15 ,3yrs 1mths left,3,1,37,Carro
Volkswagen Golf 1.4A TSI,16888,0,234000,1,13891,24 Apr 12 ,4mths left,0,4,4,Carro
Volkswagen Passat 2.0A TSI R-Line,123888,1149,38113,1,17120,22 May 18 ,5yrs 8mths left,5,8,68,Carro
Volkswagen Golf 1.4A TSI Comfortline,97888,924,31000,2,11840,15 Oct 19 ,7yrs 1mths left,7,1,85,Carro
Volkswagen Golf 1.4A TSI,52888,961,90269,2,13180,27 Oct 15 ,3yrs 1mths left,3,1,37,Carro
Volvo XC60 T5 R-Design Sunroof,96388,1793,161846,3,21940,12 Jan 16 ,3yrs 4mths left,3,4,40,Carro
Volvo XC60 T6 R-Design Panoramic Roof,184888,1544,35337,1,23060,14 Jun 19 ,6yrs 9mths left,6,9,81,Carro
Volvo S60 Diesel D2,49888,1113,143204,3,15380,24 Jun 15 ,2yrs 9mths left,2,9,33,Carro
Volvo V40 Cross Country T4,29888,2648,110050,4,19050,22 May 13 ,8mths left,0,8,8,Carro
Volvo S60 T4 Momentum,154888,1252,43000,1,18490,26 Dec 19 ,7yrs 3mths left,7,3,87,Carro
Volvo XC60 T5 2.0A,94888,1725,96604,3,21360,01 Mar 16 ,3yrs 5mths left,3,5,41,Carro
Volvo S60 Diesel D2,41888,1321,194856,3,17080,06 Aug 14 ,1yrs 11mths left,1,11,23,Carro
Volvo V40 T2,65888,1054,41000,1,14210,23 Aug 16 ,3yrs 11mths left,3,11,47,Carro
Volvo V40 T2,66888,957,92993,1,12790,16 Feb 17 ,4yrs 5mths left,4,5,53,Carro
Volvo V90 T5 Momentum,124888,1756,37000,2,22390,23 Mar 17 ,4yrs 6mths left,4,6,54,Carro
Volvo S60 T4,21388,14996,161933,2,18159,30 May 12 ,3mths left,0,3,3,Carro
Volvo V40 T2,99057,1228,41503,1,16960,11 Aug 17 ,4yrs 11mths left,4,11,59,Carro
Volvo XC60 T5 2.0A,98888,1391,81246,1,17050,17 Oct 16 ,4yrs 1mths left,4,1,49,Carro
Volvo XC60 T5 2.0A,104888,1300,48517,1,16170,28 Apr 17 ,4yrs 7mths left,4,7,55,Carro
Volvo XC60 T6 R-Design,235536,1904,18414,1,24490,09 Sep 20 ,8yrs left,8,0,96,Carro
Volvo XC40 T4 R-Design,172888,1398,3635,1,16890,10 May 21 ,8yrs 8mths left,8,8,104,Carro
Volvo XC40 T4 Momentum,178088,1698,2419,1,23680,25 Oct 18 ,6yrs 1mths left,6,1,73,Carro
Volvo XC40 T5 Momentum,117000,1179,50438,1,15750,25 Apr 18 ,5yrs 7mths left,5,7,67,Carro
Volvo S60 T4,33888,0,140000,2,0,05 Apr 12 ,5mths left,0,5,5,Carro
Volvo S60 D2,49888,0,100000,2,0,30 Sep 14 ,2yrs left,2,0,24,Carro
Volvo V40 T2 (a),61800,0,72000,1,0,29 Jun 16 ,3yrs 9mths left,3,9,45,Carro
